                            -----Size(MB)----- ----Ports----             
 Id CagePos Type RPM State      Total     Free A      B      Capacity(GB)
416 14:0:0  FC    10 normal    417792    12288 2:3:4* 3:3:4           450
417 14:0:1  FC    10 normal    417792    10240 2:3:4  3:3:4*          450
418 5:3:0   FC    15 normal    559104    83968 0:6:2* 1:6:2           600
419 14:0:3  FC    10 normal    417792    12288 2:3:4  3:3:4*          450
420 14:1:0  FC    15 normal    559104    79872 2:3:4* 3:3:4           600
421 14:1:1  FC    15 normal    559104    76800 2:3:4  3:3:4*          600
422 14:1:2  FC    15 normal    559104    77824 2:3:4* 3:3:4           600
423 14:1:3  FC    15 normal    559104    76800 2:3:4  3:3:4*          600
424 14:9:0  FC    15 normal    559104    73728 2:3:4* 3:3:4           600
425 1:7:3   FC    10 normal    417792    15360 0:3:2  1:3:2*          450
426 14:9:2  FC    15 normal    559104    73728 2:3:4* 3:3:4           600
427 14:9:3  FC    15 normal    559104    74752 2:3:4  3:3:4*          600
428 15:0:0  FC    10 normal    417792    13312 2:3:3* 3:3:3           450
429 15:0:1  FC    10 normal    417792    10240 2:3:3  3:3:3*          450
430 15:0:2  FC    10 normal    417792    12288 2:3:3* 3:3:3           450
431 15:0:3  FC    10 normal    417792    14336 2:3:3  3:3:3*          450
432 15:1:0  FC    15 normal    559104    78848 2:3:3* 3:3:3           600
